sim_id,trajectory_type,disturbed_inputs,simulation_time (s),time_sample (s),N,M,mpc_success,num_iterations,mpc_RMSe,mpc_execution_time (s),operation,failed_rotors,ang_speed_percentages (%),mpc_min_phi (rad),mpc_max_phi (rad),mpc_mean_phi (rad),mpc_std_phi (rad),mpc_min_theta (rad),mpc_max_theta (rad),mpc_mean_theta (rad),mpc_std_theta (rad),mpc_min_psi (rad),mpc_max_psi (rad),mpc_mean_psi (rad),mpc_std_psi (rad),mpc_max_omega0 (rad/s),mpc_max_omega1 (rad/s),mpc_max_omega2 (rad/s),mpc_max_omega3 (rad/s),mpc_max_omega4 (rad/s),mpc_max_omega5 (rad/s),mpc_max_omega6 (rad/s),mpc_max_omega7 (rad/s),nn_success,nn_execution_time (s),nn_RMSe,nn_min_phi (rad),nn_max_phi (rad),nn_mean_phi (rad),nn_std_phi (rad),nn_min_theta (rad),nn_max_theta (rad),nn_mean_theta (rad),nn_std_theta (rad),nn_min_psi (rad),nn_max_psi (rad),nn_mean_psi (rad),nn_std_psi (rad),nn_max_omega0,nn_max_omega1,nn_max_omega2,nn_max_omega3,nn_max_omega4,nn_max_omega5,nn_max_omega6,nn_max_omega7,radius (m),period (s),inter_position_RMSe,RMSe_u0,RMSe_u1,RMSe_u2,RMSe_u3,RMSe_u4,RMSe_u5,RMSe_u6,RMSe_u7
11,circle_xy,False,18.0,0.02,60,10,True,899.0,1.1642350058381654,21.85905910161091,normal,nan,100.0-100.0-100.0-100.0-100.0-100.0-100.0-100.0,-0.6943742123043284,0.6479935944675843,-0.0032529113143323586,0.4016260542367345,-0.7007514040630014,0.4707374670068369,-0.0274464493740396,0.29083615253649736,-0.5804207388921749,0.17778539134610974,-0.11989279525738925,0.17223778667586404,294.50727322173236,288.4358561439881,294.5938714216197,288.9733427746026,295.17144630625006,289.3286933811536,295.06985028628185,288.7918812526104,True,5.663425000326242,1.1288572330200257,-0.6519976657489525,0.6143728789051667,-0.0075396038944348315,0.38396992393253343,-0.7043504136931877,0.5121419295638596,-0.016754512264932464,0.2951894963541786,-0.5300257584715616,0.17331826255645058,-0.11573181343340909,0.1659137720321284,285.9594361482874,281.01812595809565,286.3651651755081,279.293022204755,288.16655323386266,282.8067136300403,285.0113815973573,283.99527975361184,4.0,6.0,0.2629131965399197,8.338156208907742,8.021894792950384,8.625935443222572,8.125376759442668,8.730637311813394,7.953645889202713,8.695132626657207,7.998046210461187
12,circle_xy,False,18.0,0.02,60,10,True,899.0,5.033018546545432,23.77992850006558,normal,nan,100.0-100.0-100.0-100.0-100.0-100.0-100.0-100.0,-0.722020104704485,0.7159209539729539,0.06439226352093494,0.6005443392021044,-0.7136684241840411,0.7133365037446944,-0.03216893484002659,0.4668431170398737,-1.1929456850741507,0.9620605592864491,-0.06617698143735327,0.57219797746936,322.001412577312,326.65405957804853,319.40903651939453,329.2038509119417,318.895755479316,325.71292530649976,331.3989881280316,323.32648154211114,True,4.455409499292728,4.700077538131888,-0.7651223681824394,0.7544810011610493,0.0978257088231361,0.5559680091679711,-0.7850891648827124,0.74999810797468,-0.06510922384488571,0.45710624924626375,-1.0975065018652077,0.7898491065544104,-0.11450017176287973,0.5196992990943736,314.3438086324626,319.61384874456405,318.94977224086233,322.21996840446013,322.78011377856194,327.22789656682266,322.74845939549084,326.82429828145587,5.0,6.0,1.243840903846033,20.585018004497783,21.076790884633226,22.54510890316042,23.176007321361183,21.277235749076144,19.83663809813153,26.188374051624024,20.52636862821361
13,circle_xy,False,21.0,0.02,60,10,True,1049.0,0.7012612770251434,23.71547270123847,normal,nan,100.0-100.0-100.0-100.0-100.0-100.0-100.0-100.0,-0.49315871919408955,0.5495659576872133,0.005127874933256069,0.2646135050692178,-0.3794751492215866,0.7002078526981066,0.028545504845850493,0.2708765539884976,-0.3922930869157017,0.1475563166218459,-0.0607702454159315,0.08171146210766844,282.5797273206027,278.3895695652118,282.73277908532293,277.94663663588443,282.24429508016436,277.4805936605049,282.04283493716684,277.9410007293152,True,4.6323190984549,0.8649964299790003,-0.572496645748407,0.5417147990800365,0.00547611553949081,0.2752092572229284,-0.5385545090690957,0.7076161290962955,0.02634109823345836,0.2961377436183468,-0.47588603686090397,0.1249216171711849,-0.08305129516486331,0.1029094835645607,284.8703678327577,281.3150352381558,287.59140946305354,279.92071234043544,285.81949246807653,280.58171649280075,283.8531418607838,281.91320967263215,4.0,7.0,0.3102985259989251,10.218596813363574,10.352132558241424,10.5837387283268,10.140872087386978,10.229188014721363,10.173964572487954,10.658185120455343,10.254320232890805
14,circle_xy,False,21.0,0.02,60,10,True,1049.0,1.3562797116740073,26.300282699114177,normal,nan,100.0-100.0-100.0-100.0-100.0-100.0-100.0-100.0,-0.6916577503071913,0.6828475750648545,0.010564772345326174,0.3397085237595039,-0.7012136961028927,0.6999674289364304,-0.03418673333495398,0.3703673497847583,-0.145199014929362,0.5601563950083355,0.12118031789396728,0.1558634280774551,298.0779233294628,303.60350867732546,297.8088139501725,303.51521903862334,297.8040381527804,303.7315991327611,298.07313238507925,303.78022486786676,True,4.169524999335408,1.6382599111809,-0.6668502101945023,0.7047504395294913,0.01944621243336258,0.3576060610659125,-0.7009660527358496,0.7070592713060538,-0.021664688261111578,0.3905584700091015,-0.15511890950734955,0.43295502209491743,0.110307992213138,0.15328901765609054,294.94003524709973,297.1033314777579,294.90501692818316,301.23557536402797,294.4228108769652,300.97579664503223,295.08019799788127,300.437818859882,5.0,7.0,0.7023942156582572,23.375956745916255,23.43252335338397,22.739428235678158,23.518307430600885,22.40667094102551,23.469822420904805,23.112832982701935,23.247051479078664
15,circle_xy,False,12.5,0.02,60,10,True,624.0,0.5989203120984657,13.533979100000579,normal,nan,100.0-100.0-100.0-100.0-100.0-100.0-100.0-100.0,-0.37084750259648014,0.19710972813379876,-0.035699295053169405,0.16153049780342607,-0.3208475671339884,0.7001095112906607,0.01565938703875775,0.21947506623541313,-0.101059807081506,0.21753533591252378,0.025271750140404215,0.051500409206866986,269.78482517374664,273.1727622932954,270.456070448827,273.38030082903805,270.201715172184,272.6972020648789,269.6011364889981,272.435896081142,True,2.368272700579837,0.6716153300725668,-0.4036352131412244,0.27530284795638116,-0.03737643931087821,0.1663871623871028,-0.4640375732343268,0.7007288898752073,0.017582094146102626,0.22897739214937374,-0.10738822096571606,0.2835672099553198,0.0439098283636922,0.06712028171967119,271.31424388417895,276.20538764469615,272.38963255475426,276.3456575421745,273.36164234848064,276.15835559213366,270.33557560749483,275.6251661024109,5.0,10.0,0.17799022338254378,3.0111613260373606,2.8390134013020423,2.9248338475927307,2.7646503268073164,3.1786687100247217,2.8781769044523133,3.0853172937226407,2.904878153462574
16,circle_xy,False,12.5,0.02,60,10,True,624.0,0.7108658154133147,14.440777700161561,normal,nan,100.0-100.0-100.0-100.0-100.0-100.0-100.0-100.0,-0.4056439429958162,0.20977148471366105,-0.04111876893475187,0.17897725441238418,-0.7002656007077576,0.3655134979315938,-0.01864653137185151,0.23668264547990617,-0.2524710797703525,0.09965120226825673,-0.030652587822762003,0.05938351574068374,280.2373417382869,276.8762425891598,280.0379600078687,277.2137367892989,280.6480726368016,277.6785240780394,280.8533559196056,277.3667998620975,True,4.108753800042905,0.7686503651939756,-0.41360031862779806,0.2711420332073653,-0.04750514302667565,0.19593908098174243,-0.7018536891137437,0.46920255329249866,-0.014430582765561983,0.2452093797032699,-0.2952360290115946,0.08599833595067609,-0.04740692888498051,0.07101477612943329,278.7740290654193,274.5743121881806,277.8736187105496,272.8786216723277,279.1657387290304,275.1647729181432,277.70635821569965,276.25898903740017,5.5,10.0,0.1868307177255518,7.254717803923185,7.107753276166157,7.723381029441283,7.599955889022232,7.6780723935971915,7.586847237121412,7.481994803602364,7.067467575157536
17,circle_xy,False,12.5,0.02,60,10,True,624.0,0.8348862620946979,16.223112801206298,normal,nan,100.0-100.0-100.0-100.0-100.0-100.0-100.0-100.0,-0.230243343528054,0.44127621532109723,0.04725032570570866,0.1961462928861416,-0.424299310145043,0.7004276504089187,0.021326113413063938,0.25360569308826303,-0.2851471372150678,0.09790839568093695,-0.037070867386084186,0.06644972798183543,288.01107219527734,284.92009382137496,288.2003404930564,284.5663217873746,287.57238914089965,284.0578517983921,287.3868927294782,284.4122571973,True,3.590207200089935,0.9586009486347414,-0.36667068677002046,0.4592011836474327,0.055487591961517195,0.21769761963199558,-0.657164506551613,0.7132472553481065,0.024070978755372126,0.2766360671254963,-0.3534145266263166,0.08456340446393609,-0.060225076072046566,0.0878115743423109,291.41160087660194,286.4931334303222,290.97672225992505,286.2822939739743,292.4249739553142,286.88476462456066,288.28320646064714,287.4205199146732,6.0,10.0,0.26996103536534893,8.251635806849336,8.237877343097956,7.8163566396488635,8.210917225916557,7.835198919206984,8.053582204896566,7.7907010433468615,8.253796894071664
18,circle_xy,False,12.5,0.02,60,10,True,624.0,0.9748196126693937,18.452183800109196,normal,nan,100.0-100.0-100.0-100.0-100.0-100.0-100.0-100.0,-0.2627295408082978,0.47680309689940464,0.054230491426199706,0.21308056083934548,-0.4965056635317429,0.7005114183978912,0.023134864524696402,0.2718320093206595,-0.3187844169867099,0.09683831530812838,-0.04478334177882801,0.07319813123550375,295.886976970331,292.47927443058023,295.968135919202,292.0959952091766,295.40275974021205,291.7093989562771,295.3214635565651,292.09318662294424,True,3.6199794996646233,1.134129128987356,-0.4779244111757583,0.5008315124280842,0.06643661055279405,0.2437506958222916,-0.6979284183662647,0.7176204121472249,0.03029144197666402,0.29897598897744415,-0.38988400849422494,0.08440967087982251,-0.06740252904949245,0.10595578433865845,300.733830385406,295.6329912613216,300.49037525608674,295.53969081428994,301.7473383614155,296.0839671829628,297.4717870747821,297.0398825829801,6.5,10.0,0.3279306917751525,8.987813133161994,9.671100869180602,8.634654943807051,9.513995554284099,8.586620401216793,9.229453670071308,8.634639965809345,9.521335299971271
19,circle_xy,False,12.5,0.02,60,10,True,624.0,1.1339036978522083,14.453094599710312,normal,nan,100.0-100.0-100.0-100.0-100.0-100.0-100.0-100.0,-0.5131763704952582,0.3193267135706785,-0.06199978834408689,0.2304999835184226,-0.5772761225622146,0.7007223046435916,0.023907125175310212,0.29213763392219805,-0.09602468144886031,0.3485891400399973,0.05390798504197687,0.0797971908335316,299.42992829425754,303.4583521592444,299.8783678770715,303.8245480626683,300.0092208554134,303.5328618551435,299.56097855162886,303.166312842934,True,3.69562690082239,1.387221592286565,-0.5624674380361878,0.3652999667030707,-0.052976070291064194,0.2489057355955265,-0.6953026756075289,0.7218779659890868,0.01850528887133391,0.33185321166503484,-0.13040532718416534,0.3958312339103875,0.06429495082533253,0.10164864706683147,303.37627054990776,311.6701776800853,308.4344159063242,310.23327638810997,306.10778806105355,310.00222501008204,305.231073214232,310.11031752941625,7.0,10.0,0.5223437506220072,19.613921491637363,19.770436898247226,19.198471112559567,20.48223455090984,20.023715089146048,20.38658613132335,19.74525887808882,19.82594481789532
20,circle_xy,False,12.5,0.02,60,10,True,624.0,1.3163738535430511,17.543530399387237,normal,nan,100.0-100.0-100.0-100.0-100.0-100.0-100.0-100.0,-0.39634702835691393,0.5502499188433144,0.0706699158592517,0.24952419517774094,-0.7008929636443851,0.6715901900748197,-0.02339011429455362,0.3148943372336511,-0.0956686471403998,0.37388214500378414,0.0646005412338428,0.08698250461267616,307.8106269076103,311.56928143868765,307.4553193986182,311.1778941065438,307.1756365934907,311.3200312958526,307.53786979226356,311.68346398275935,True,2.9995925000403076,1.331145571943519,-0.40873690226059334,0.6197716409267486,0.054916245954953834,0.2541851887562481,-0.6950369398171682,0.5770146313264363,-0.021311228907415398,0.3085093284017648,-0.11410008540539764,0.18597734182603218,0.06229607770266762,0.06488583308817547,311.1915563624858,309.1771548165657,312.86832214253275,312.45790042110843,308.9381836168731,313.1110260703583,311.7785599297106,313.0560578478058,7.5,10.0,0.3812445459943539,14.890094101223085,15.254732826606661,14.783511162964647,14.389902372655738,14.172837044301406,14.470870201575533,14.752902638294588,14.94137588861519
21,circle_xy,False,12.5,0.02,60,10,True,624.0,1.5243762099917846,19.72352670005057,normal,nan,100.0-100.0-100.0-100.0-100.0-100.0-100.0-100.0,-0.5880584645181192,0.4571023491060354,-0.07946753930301165,0.2707602521658162,-0.7010233255003012,0.6998293883224431,-0.02269808379458293,0.3370989240038058,-0.3949050596228503,0.09555510016120579,-0.07433330787761712,0.09339495307703863,319.20339243228915,315.2214309092468,319.5005947476444,315.66211320494494,319.73092520733513,315.55157723860094,319.4590011753851,315.1603443478623,True,5.226132700103335,1.7020749864152647,-0.8064394547257255,0.4974520889782175,-0.0809953061722154,0.3084386661536451,-0.7035406643745012,0.7039302613504287,-0.013635917816897518,0.3560343084941799,-0.3897095356127232,0.10827248590172123,-0.09577037520415839,0.10855985268326236,315.96481897142223,312.0038640795863,319.4899806978343,311.69888446011174,315.100680377105,315.8360336169074,317.240817943834,315.15933801229556,8.0,10.0,0.5219639649977362,23.760498670308102,23.75499033955205,24.420737261917957,24.759091378023335,24.67686863563638,24.5804036418981,24.5956495036679,23.213479294433437
22,circle_xy,False,12.5,0.02,60,10,True,624.0,1.7628138681228993,21.35802699951455,normal,nan,100.0-100.0-100.0-100.0-100.0-100.0-100.0-100.0,-0.6263834329164291,0.4872294174315604,-0.0892933167880687,0.2944770649360662,-0.7011419163332306,0.7007702018405537,-0.021204371588522206,0.3592419421351054,-0.41119967397644225,0.0962915910787945,-0.08330098331491159,0.10078835711753174,327.41337980866365,323.422245349051,327.76944874586167,323.78861187369245,327.8632096544384,323.5566192772829,327.5451007632823,323.2040344610406,True,2.846987299795728,2.1065380470133763,-0.8153251347575236,0.7082083224272108,-0.07771556088742645,0.3686372673966172,-0.7055241656316679,0.7182398307751784,-0.009329656678877519,0.3808070998673119,-0.4257061849668556,0.15284540776948818,-0.1206898742464088,0.14511037946591693,321.4033154786188,318.02743967829787,325.93839727222627,317.79647852899734,320.6357402885221,322.2146314621947,323.2929035319066,320.74512662918534,8.5,10.0,0.8538382921465332,35.581874449268994,35.882975651394034,36.06040927589552,36.179897372998376,35.66010872507665,35.85216100094636,36.68973934143801,34.79083166450501
23,circle_xy,False,12.5,0.02,60,10,True,624.0,2.039924157547339,14.284501100191846,normal,nan,100.0-100.0-100.0-100.0-100.0-100.0-100.0-100.0,-0.4685693071295045,0.7037427227429719,0.1031949775898935,0.3178379725364478,-0.7017167325116052,0.7012490656187691,0.01845574672940596,0.3820469702282172,-0.4219360928405067,0.09659514384711795,-0.09129683707944457,0.11035510878774221,336.1010806463845,331.72763426781097,335.78031157530796,331.4615341623113,335.8167073110952,331.86271242175707,336.1958223054008,332.1284951895507,True,3.1578029003576376,2.340561397066296,-0.7035483849914805,0.6842093435138528,0.12588856965459785,0.38503260792289196,-0.7134083557821488,0.7482494403974945,0.08702353314144085,0.4273218167075084,-0.7189873906450808,0.2723522254609724,-0.1440737441724224,0.22304095022003279,334.6063038189519,332.46330244550285,336.3434543476711,330.9403949136992,331.58784301409565,333.21560740814783,335.3430049696847,328.8171806150874,9.0,10.0,1.0534694421745825,30.07295718871866,27.811860499533534,30.479388972815602,27.98955026359083,28.865411534474894,27.92510654872475,31.316219357117394,28.28907036596376
