sim_id,trajectory_type,disturbed_inputs,simulation_time (s),time_sample (s),N,M,mpc_success,num_iterations,mpc_RMSe,mpc_execution_time (s),operation,failed_rotors,ang_speed_percentages (%),mpc_min_phi (rad),mpc_max_phi (rad),mpc_mean_phi (rad),mpc_std_phi (rad),mpc_min_theta (rad),mpc_max_theta (rad),mpc_mean_theta (rad),mpc_std_theta (rad),mpc_min_psi (rad),mpc_max_psi (rad),mpc_mean_psi (rad),mpc_std_psi (rad),mpc_max_omega0 (rad/s),mpc_max_omega1 (rad/s),mpc_max_omega2 (rad/s),mpc_max_omega3 (rad/s),mpc_max_omega4 (rad/s),mpc_max_omega5 (rad/s),mpc_max_omega6 (rad/s),mpc_max_omega7 (rad/s),nn_success,nn_execution_time (s),nn_RMSe,nn_min_phi,nn_max_phi,nn_mean_phi,nn_std_phi,nn_min_theta,nn_max_theta,nn_mean_theta,nn_std_theta,nn_min_psi,nn_max_psi,nn_mean_psi,nn_std_psi,nn_max_omega0,nn_max_omega1,nn_max_omega2,nn_max_omega3,nn_max_omega4,nn_max_omega5,nn_max_omega6,nn_max_omega7,radius (m),period (s),inter_position_RMSe,RMSe_u0,RMSe_u1,RMSe_u2,RMSe_u3,RMSe_u4,RMSe_u5,RMSe_u6,RMSe_u7
11,circle_xy,False,10.0,0.02,60,10,True,499,4.761080718071468,16.536551400175085,normal,nan,100.0-100.0-100.0-100.0-100.0-100.0-100.0-100.0,-0.724036131007528,0.7219844514629735,-0.044532913532891176,0.5978111980100312,-0.7103410936885868,0.7114627255105092,0.03475026067142179,0.5982177203627423,-0.39135152016038804,1.0511888443919628,0.4202665522239481,0.3371765369370925,328.85312584047364,335.714333375026,340.1451700897017,340.66752947802684,322.27454548509803,339.99066197469176,342.4505283437587,335.4208543417502,True,2.5912692993006203,4.611247451836416,-0.7650747408049684,0.8399193738805869,-0.05509112023982938,0.5581755342082665,-0.7692197676294251,0.7710795884898675,0.01172267700874312,0.5978901762777249,-0.3170543515840002,1.0781100011489768,0.4086182777515973,0.3597769620553526,316.39329443939766,324.6114723713883,312.56606445854817,325.00296037949676,319.3441322425628,323.4103902662617,325.4307485740522,323.43219759006416,5.0,3.0,1.2290435286489803,32.12108919810213,36.04026719331916,33.86536910667269,34.53068062820719,32.4362194606607,34.08656268267008,33.79532954253041,33.8570241474985
12,circle_xy,False,10.0,0.02,60,10,True,499,5.111386769753555,19.303845200076466,normal,nan,100.0-100.0-100.0-100.0-100.0-100.0-100.0-100.0,-0.7252522879547826,0.7316898357359877,0.10390166436671372,0.579749714150708,-0.709300042907717,0.7129361745469036,-0.08325633659270242,0.6048768765884717,-0.6014697170879206,1.150137705217928,0.30587665920431983,0.4400005718732035,337.5571262813191,325.728380762276,338.9232070373439,326.4731146218136,335.7686569016064,339.8220910961107,333.47413202923923,340.62430977375203,True,2.5620130001043435,4.675612029699316,-0.8035046421217394,0.7945810074540046,0.02787238830468708,0.5750634042244296,-0.7738308109146653,0.739867209934401,-0.029601674269852423,0.5951647315107563,-0.8175788423078759,1.085666322260932,0.34017948485882193,0.36828832480742413,324.6415880137732,331.48947858177957,324.13268757968245,328.47615505204834,327.10938417236247,323.8146320386464,330.7375592422998,328.7672329067378,5.0,3.2,2.232697115638195,35.514150022544634,41.031040730539786,37.00710317287578,43.529172082538246,35.51102821000552,42.53485240448181,40.0732156405414,41.682224116341786
13,circle_xy,False,10.0,0.02,60,10,True,499,5.148437311218623,15.970558699773392,normal,nan,100.0-100.0-100.0-100.0-100.0-100.0-100.0-100.0,-0.7135095906880358,0.725222510477916,-0.06937694127932048,0.5868566623363592,-0.7118739330595698,0.7088196564183886,0.2286249666211586,0.5652095061291794,-0.8607323867377695,0.9733235825233724,0.18716489463561561,0.4398502930919794,335.90787854711084,342.1712220263757,339.21582552557715,341.2459819787805,338.3619967329717,338.0284848116219,340.9639681801156,336.6987641800721,True,3.131543799507199,4.907676287071135,-0.7421375571664751,0.8227791835880426,0.16717750332904813,0.5531880264344229,-0.7233961696916654,0.7626543110831435,-0.05093226907437654,0.6046643203810286,-0.5742628314042943,1.1277398312333418,0.22402316312219103,0.4187671826212313,330.0525216372601,329.8373448314428,336.01702765029506,324.79445097227574,321.59168381788794,323.85136223216034,334.5924707237112,325.63277300188025,5.0,3.5,3.711744723601013,51.004512533674365,56.09284428848726,53.24627023648892,55.243158415747445,51.01094168036217,57.04507361236885,50.72493412466941,59.85218771727535
14,circle_xy,False,10.0,0.02,60,10,True,499,4.313570155259682,14.641762199898949,normal,nan,100.0-100.0-100.0-100.0-100.0-100.0-100.0-100.0,-0.7241278770642412,0.7214121000461209,-0.02064601429994792,0.5926514419831793,-0.7103373204771188,0.7114346073361867,-0.18031142369029232,0.560918695747612,-0.33162866463306856,1.0109927646156194,0.21820921034647708,0.36145078577026923,336.56927988989696,342.77078796674624,340.99685932210053,342.77078743218203,336.42492458877064,342.7707879892036,342.77078798868746,342.77078798922287,True,2.9104948000167497,4.290541325795293,-0.7903398684331754,0.788897337619796,-0.12762093424706616,0.5655464564642319,-0.7715008504582342,0.7420411959959545,-0.1183263080488621,0.5552187073688862,-0.4407238074563581,0.9575303407950924,0.2773997276889026,0.3649528952749099,329.37540915530474,332.357646205447,326.4119816953641,328.250023247164,329.8456759888194,330.0157326900387,330.5843270490108,334.213551803155,5.0,3.8,1.5173803927716565,37.764327745743216,38.97166382379567,39.55291124693713,40.29731428752986,39.40457746395226,39.73576791795452,38.68928461092417,38.53713782015741
15,circle_xy,False,10.0,0.02,60,10,True,499,4.079002194339559,16.089145999925677,normal,nan,100.0-100.0-100.0-100.0-100.0-100.0-100.0-100.0,-0.722764727633375,0.7066955612974745,-0.15687248820011546,0.5553558143667571,-0.7103997927932041,0.7098830894062922,0.12228358291510208,0.5204296405765172,-0.9588321398439299,0.3658457668775589,-0.22051555346865803,0.36136468348082346,342.7707860330891,342.64645877891394,342.77078746141524,342.7707871522463,342.7707879408862,338.24164357710646,342.770787913957,339.5654255575301,True,3.7460367997409776,6.145435471357857,-0.8380757356011006,0.6185081544853159,-0.36177683511721564,0.4741232200122294,-0.7212577423794655,0.770367328218984,0.014968578287408846,0.530645598359031,-1.2270664496901909,1.1455288051424566,-0.12775281454148976,0.6120729103191554,329.5980692186983,335.4660376575865,337.6786623149693,338.2069687284249,328.73741458541537,340.56807473603465,330.10623987346986,335.90814023309036,5.0,4.0,3.868633448196179,40.439522698013185,35.95425655114814,40.49226810308973,37.519028114746405,42.700223173308935,37.39593625666889,45.03773076525116,37.39192791380038
16,circle_xy,False,10.0,0.02,60,10,True,499,5.026980511694905,14.767750000173692,normal,nan,100.0-100.0-100.0-100.0-100.0-100.0-100.0-100.0,-0.7360602279380618,0.7194555300448351,0.07218405971431874,0.5947276193317107,-0.7093595575782207,0.7103984810157269,0.1849315411204385,0.48270437137900724,-0.9840812695471364,1.0079522779618482,-0.12122866572316393,0.5122706648785061,342.7707879825215,341.644798917458,342.77078797853994,342.72644253606865,342.6172912236178,342.6723440846759,342.77078794226776,342.7707878338626,True,2.248975900176447,3.8822063089844616,-0.7088391291867776,0.7659346424397193,0.12909202130227063,0.5543105686312987,-0.7074611851205919,0.7759336342641423,0.12528769279923668,0.5126693403040204,-1.0480823998448163,0.4767509339631834,-0.2653749682631827,0.38296808735285837,328.54965549283526,326.7401265115843,336.5043946426848,325.5340705010976,326.89851256302876,326.9732537323499,334.1452830642391,328.82763751798234,5.0,4.2,1.9087946922169892,29.38232289885966,25.487255996737016,23.582355131698232,26.518028748615627,32.748645121925,26.760755386912056,24.92075476634553,25.94145911216688
17,circle_xy,False,10.0,0.02,60,10,True,499,3.7503231347093084,13.034413799905451,normal,nan,100.0-100.0-100.0-100.0-100.0-100.0-100.0-100.0,-0.7186315582110594,0.6993598882513299,-0.050037549979663094,0.5120877802502428,-0.7021529069683653,0.7064727341540791,-0.1733979046349578,0.476964125219331,-0.9986110648963162,0.3201036938069262,-0.26163633026320077,0.31137502775009546,342.77078791599223,340.473437144906,342.77078778661735,342.14456144132055,342.7707879707723,341.4393372033954,342.7707879641044,338.44226204303413,True,2.325098300090758,4.107530495380786,-0.7968482289547361,0.7580321473492788,-0.03366647228393402,0.5493940381419006,-0.7759239995017971,0.6964172504880255,-0.1995519880453806,0.48269763949570005,-1.1136057743444783,0.7420552995619386,-0.17309965593751933,0.4637165983212174,321.57860027955815,327.51568315441705,326.27863770234916,326.41129685905395,326.1674091448187,326.1327441092864,320.2865995905464,328.5102503699308,5.0,4.5,1.499644913728301,26.71001493230023,24.94832875248474,27.105832254985067,25.100110811104006,25.006875927922863,27.893181278655216,27.0780803588612,28.06885382890627
18,circle_xy,False,10.0,0.02,60,10,True,499,3.665709734070422,13.21319709988893,normal,nan,100.0-100.0-100.0-100.0-100.0-100.0-100.0-100.0,-0.7206475852725598,0.7284062411890126,0.11342570868464794,0.5314701010780167,-0.700357258101923,0.7020845976776038,0.07239919806597785,0.5119691263139289,-0.7395405802381353,1.0200972171306502,0.09501925968873587,0.4619616666523387,341.0593142338828,338.71328290591475,340.7096152813441,339.1929867089666,341.41403387164485,341.18987045586215,342.1847517970465,341.10278688319005,True,2.3609286997525487,3.8627913405458454,-0.7473919863212539,0.7141050865986441,-0.028400678434164453,0.4775499484677098,-0.7238570899917754,0.772941763298837,0.20226018577900215,0.49259981261149405,-0.7085301159008185,1.0032623358658848,0.1744353830342906,0.4094529263611565,324.50133135796597,333.5921540637292,330.34694374112894,331.3367191293137,328.1035988264648,332.07926419247696,328.4608816543716,332.8029820251832,5.0,4.8,1.7938735203544653,34.681817382826786,39.94393085905391,34.40660430589653,39.671123792456484,34.620774643603184,40.39682484887755,36.60640179702813,40.757628413468254
19,circle_xy,False,10.0,0.02,60,10,True,499,3.32820406663635,13.881943999702344,normal,nan,100.0-100.0-100.0-100.0-100.0-100.0-100.0-100.0,-0.7396741953735576,0.7169208765938282,-0.09534084147079454,0.49754724664701727,-0.7032883944721864,0.7014788875730001,-0.022945693473254293,0.5001555195492013,-0.8423080669539385,0.9395157273164703,0.16818378018463992,0.3841003659494424,326.39832038450515,331.0325412173656,336.149411944368,335.3892428072901,327.51424050797107,327.06110178538586,341.46622837489065,336.88040499612333,True,2.380774799908977,3.999570091762225,-0.7935217253047696,0.775382506293893,-0.1534545090719959,0.5161073398953958,-0.7218471475668422,0.7368160064663628,0.05944434144147753,0.5579327934742723,-1.0493049213965022,1.061638598833454,0.12103993300152478,0.49884870170475565,333.3875446326852,325.1701322374687,337.70017912579516,324.3424518182076,330.98624686326974,327.50957095074307,334.34821357113253,329.5482833076789,5.0,5.0,1.6907580976222722,29.344452966433504,27.81954932801959,25.96827921173319,26.869952310914016,28.164298019682125,30.635135116717464,27.38690860593591,28.08217463284129
20,circle_xy,False,10.0,0.02,60,10,True,499,3.1310826416862922,13.494176399515709,normal,nan,100.0-100.0-100.0-100.0-100.0-100.0-100.0-100.0,-0.7140477438157088,0.725078099466208,0.06765917621331892,0.5278305442697683,-0.7063363741802834,0.7098218974340831,-0.07476783367886827,0.49230592908372245,-0.8411895651395461,0.9491587981806562,0.20263851544590747,0.388037381963203,337.063103827497,334.09713583466123,342.4280132760627,335.26328157429043,338.0339901905975,334.05923510162967,341.3235457601697,332.723851637341,True,2.3235809998295736,4.08758996175824,-0.7319454032770877,0.777421483698893,0.1165123897971851,0.5505120843872405,-0.7334496825586513,0.739664494668318,-0.04017934764658932,0.545872209639162,-0.9719536783845211,1.0981185484772256,0.10845309468171746,0.5053273012580314,333.7447680989367,327.76383974959225,341.7252311807584,331.30150004150687,329.56521615981,331.561781439252,340.13143689558456,330.36789688252134,5.0,5.2,1.9812486340069608,40.58712590450094,42.47945780395214,38.63060985166544,42.95015282802429,40.732064405555995,44.84644120999835,40.98018066569104,42.91274053452143
21,circle_xy,False,10.0,0.02,60,10,True,499,3.6580924414755067,13.125293499819236,normal,nan,100.0-100.0-100.0-100.0-100.0-100.0-100.0-100.0,-0.7251654376339215,0.7191417402932495,0.008264328114029695,0.5784028182655779,-0.7089746515299264,0.709145822896865,-0.07498927268406846,0.4780766629403081,-0.8089566273179452,0.9045057265973405,0.1616689613152078,0.4577025257085113,340.3868913830251,336.7317031421517,338.3996010815501,337.93012732915,338.63023302462824,335.3285909400461,339.9110781872518,334.236111297318,True,2.4653247998212464,5.258560099987617,-0.7964037630234435,0.790610397185697,-0.040415796085219884,0.5847657360317846,-0.731058476786639,0.7295253110775801,-0.025738512715455245,0.4836429901663311,-0.9795578981629243,1.1709045355985044,0.011734090972653561,0.5839085423647239,325.19870953846146,319.7341330372593,332.432928067724,321.45063837970736,327.8561618662647,327.2133066603032,323.44447897021075,324.54830019358127,5.0,5.5,2.8855008801016755,29.388856553911488,32.25248865096852,28.141881345206723,34.04438263399747,28.534495337080372,30.185030593042708,31.870151932994435,28.616890735294334
22,circle_xy,False,10.0,0.02,60,10,True,499,3.7757451667299446,12.925874999840744,normal,nan,100.0-100.0-100.0-100.0-100.0-100.0-100.0-100.0,-0.725473916736674,0.724461377576331,-0.03769089040327764,0.5785695812086266,-0.7017352993729113,0.711124066400813,0.033960572171959455,0.4537407637731251,-0.8686898528261283,0.8880560005841355,-0.03137757676575362,0.5232491030532076,322.80805114377523,341.88537145424846,335.36234894128813,342.66315387528624,329.0206550538117,339.8947620920419,339.3705740208899,338.7500471742517,True,2.410189899528632,3.4742913652136886,-0.7235529033308218,0.7264353250425228,-0.038909601003988055,0.553112124453016,-0.7044323790122284,0.7606934720762928,0.029700819953241926,0.4449556677190067,-0.8829420352263531,0.6954201507958301,-0.09216480274576634,0.4783448055009515,323.740255763745,332.6681487160338,330.80608476799176,333.8617860927641,329.5317926689789,335.6036218322647,328.273668514568,334.28978724534034,5.0,5.8,0.5753181905494424,14.683737855060944,14.929044081739208,17.311367277170604,15.154218032928716,14.346560871931949,15.411365897607968,16.630073399533703,15.087553740909643
23,circle_xy,False,10.0,0.02,60,10,True,499,3.7437569466663225,15.38271459954558,normal,nan,100.0-100.0-100.0-100.0-100.0-100.0-100.0-100.0,-0.722020104704485,0.7159209539729539,-0.0686318181283117,0.568211485112545,-0.7089296052052466,0.7090544115868231,0.055236875954796504,0.44590129608251167,-0.9161966953579542,0.7813556368642454,-0.04455618886716046,0.4898754040408803,322.001412577312,326.65405957804853,314.80412099456976,329.2038509119417,318.895755479316,325.71292530649976,322.68030317804124,323.32648154211114,True,2.5099280999274924,3.1121688435147457,-0.7184729497947947,0.7091809438579193,-0.04727059067353835,0.5372429025229611,-0.750368498535714,0.7482494500851061,0.026306950880934207,0.444729537277447,-0.8341615546840598,0.6864268801672085,-0.0744539969073183,0.45163438984613996,310.2289950235113,313.3733023560004,314.54305531380896,315.5269982799925,311.71596726270633,319.54554764631115,313.5568645377897,318.4254081662753,5.0,6.0,1.0756319823626075,22.947943818031774,22.158585448635275,24.0388062307254,25.19108118309667,22.06248324701576,22.957309150017952,24.967302096535846,22.290293136574807
