sim_id,trajectory_type,disturbed_inputs,simulation_time (s),time_sample (s),N,M,mpc_success,num_iterations,mpc_RMSe,mpc_execution_time (s),operation,failed_rotors,ang_speed_percentages (%),mpc_min_phi (rad),mpc_max_phi (rad),mpc_mean_phi (rad),mpc_std_phi (rad),mpc_min_theta (rad),mpc_max_theta (rad),mpc_mean_theta (rad),mpc_std_theta (rad),mpc_min_psi (rad),mpc_max_psi (rad),mpc_mean_psi (rad),mpc_std_psi (rad),mpc_max_omega0 (rad/s),mpc_max_omega1 (rad/s),mpc_max_omega2 (rad/s),mpc_max_omega3 (rad/s),mpc_max_omega4 (rad/s),mpc_max_omega5 (rad/s),mpc_max_omega6 (rad/s),mpc_max_omega7 (rad/s),nn_success,nn_execution_time (s),nn_RMSe,nn_min_phi (rad),nn_max_phi (rad),nn_mean_phi (rad),nn_std_phi (rad),nn_min_theta (rad),nn_max_theta (rad),nn_mean_theta (rad),nn_std_theta (rad),nn_min_psi (rad),nn_max_psi (rad),nn_mean_psi (rad),nn_std_psi (rad),nn_min_omega_squared,nn_max_omega0,nn_max_omega1,nn_max_omega2,nn_max_omega3,nn_max_omega4,nn_max_omega5,nn_max_omega6,nn_max_omega7,radius (m),period (s),inter_position_RMSe,RMSe_u0,RMSe_u1,RMSe_u2,RMSe_u3,RMSe_u4,RMSe_u5,RMSe_u6,RMSe_u7
13,circle_xy,False,10.0,0.02,60,10,True,499,74.36143392369014,28.45354859964573,normal,nan,100.0-100.0-100.0-100.0-100.0-100.0-100.0-100.0,-2.588468484203008,8.97776007724564,1.902849290055066,2.2617827553482295,-1.415859353318077,1.5175859757059476,0.13647192501718144,0.6697558421623226,-1.1948538147282874,16.912605296745806,3.713070720627235,4.462014034545936,342.7707879741729,342.7707879884193,342.77078798918694,342.770787989644,342.7707879896441,342.7707879896441,342.7707879698165,342.7707879750921,True,3.0794657999067567,2.221359984963042,-0.7025252904540206,0.747839466996095,0.040047141960844156,0.4787669796516562,-0.6975742681074888,0.6864087907624996,-0.03586621761304747,0.45715476936600424,-0.2597839501349189,0.9499821886629835,0.3358115153572711,0.23173274319968765,36467.16098752769,290.49832926447294,292.01922920060787,287.17054608259804,290.88874590052643,288.2776835734285,291.42929645315587,291.3523112591992,293.3444786829886,3.0,3.2,73.69563347101474,66.4337936373132,69.78946219461712,62.36419623304729,67.90526178232858,65.62589484029282,71.66383923482557,66.38243704270245,68.43677390284225
14,circle_xy,False,10.0,0.02,60,10,True,499,35.76663953717661,21.7295680999232,normal,nan,100.0-100.0-100.0-100.0-100.0-100.0-100.0-100.0,-9.273199242394789,2.3921701518428504,-1.5427421834719293,3.1620382849576414,-1.441877749317126,1.5167680950872624,-0.24952078180840243,0.5672887600188439,-1.7873749741706453,66.94439995323458,11.061646323503142,16.56866158454073,342.770787989644,342.770787989644,342.770787989644,342.77078798869235,342.7707879874123,342.7707879894498,342.77078798948565,342.770787989644,True,2.760630299919285,2.1901998939755862,-0.6995315725633454,0.7405164274996132,0.008695034914941786,0.4645074305229236,-0.6772855261086371,0.6870051210287417,0.02389349349745461,0.43907185589372333,-0.2562083569519967,0.9438367237325576,0.3042402548650636,0.2756065496239121,34336.773738374584,293.7271545671661,294.6993784017831,291.9498580432468,294.4041843028772,289.7817871031262,295.47524599026866,294.02195487470874,296.2488161706876,3.0,3.5,35.12969755251003,68.12243821995199,74.93246156599862,68.28899502054921,76.67412955433853,85.33074667723453,77.81390777596933,72.10532285634838,78.92821499063577
15,circle_xy,False,10.0,0.02,60,10,True,499,71.9844877024251,24.14761320024263,normal,nan,100.0-100.0-100.0-100.0-100.0-100.0-100.0-100.0,-9.470072279104752,1.7713842236647124,-3.2245355699032476,3.4710306197816627,-1.3430035735632788,1.4506752003703955,0.34678902770787046,0.6067384645618487,-126.18922655956005,1.545694834545058,-23.430969899439564,34.420017328719474,342.770787989644,342.770787989644,342.77078798813864,342.7707879880793,342.77078798699506,342.770787938156,342.77078781379225,342.770787989644,True,2.582093200122472,2.1432629662287934,-0.6990799271983759,0.7011462760131895,-0.07531948180163138,0.43091719217884156,-0.7180079004965134,0.6989048176341927,-0.06723948208225691,0.44480393037896787,-0.28997783220265394,0.8398543404713286,0.255948378017682,0.2620231786312667,34678.573761047446,287.0985693230212,291.2185765570827,290.99520711980364,291.1864482306589,292.578109180636,293.9651360880987,292.07114316896286,293.72022974668624,3.0,3.8,71.27879849068628,73.07073059166926,61.387840013200545,67.10118297817063,88.85993939301567,70.5246305382142,55.24488284950391,71.35550973984735,71.52205353085917
16,circle_xy,False,10.0,0.02,60,10,True,499,113.43069619508303,15.060115199972643,normal,nan,100.0-100.0-100.0-100.0-100.0-100.0-100.0-100.0,-3.334553143098314,1.4851578417871467,-1.6707290525199556,1.4361745808850388,-0.7323432493856881,1.384774977999034,0.2323458337863752,0.5542389516937021,-231.26674569190703,2.4901794158160104,-53.01876660812304,67.45904126029724,342.77078798950436,325.9824671128083,342.7707879895083,325.6398839882757,342.7707869464605,325.16903751844006,342.7707873211178,328.65156844529037,True,2.259349500091048,2.0661638744343156,-0.5330225919644631,0.7367276199287107,0.09270396254056709,0.42494400260822834,-0.6967808706263122,0.7062864514686462,0.07276882720794944,0.41073601750957783,-0.8902565454207749,0.27761200435473493,-0.26617491685871425,0.2625264943822703,26107.351764947176,295.9294439611871,290.63434670329934,299.9267847743552,288.62181853279435,290.8740320801131,291.98468108847703,294.69310503628395,292.0092432144283,3.0,4.0,112.49495087685253,83.83985749364761,53.869618073342025,83.61449181885816,167.2211676446792,41.51863344643206,166.4583825029922,54.60506489756242,54.312353777625354
17,circle_xy,False,10.0,0.02,60,10,True,499,108.68176708528041,16.28317810027511,normal,nan,100.0-100.0-100.0-100.0-100.0-100.0-100.0-100.0,-3.3168153785159635,1.3583064225613815,-1.6844227589209637,1.406634697029988,-1.2952939203548919,0.6798102138501776,-0.19005074176808898,0.519660241309706,-2.674482274273444,233.26246959353256,50.237712508746625,66.48773451184648,320.98496735294026,342.77078794419657,319.8839134529717,342.77078469108847,323.0319391547783,342.7707879849557,318.66107285777707,342.7707879862947,True,4.7140478008950595,1.7008783228332707,-0.48513593335010263,0.716784598280825,0.04289612890542694,0.38840833980235867,-0.6938101529993752,0.6506626391018111,-0.05428018811650641,0.40016430174870976,-0.22255605090607983,0.7559330897405157,0.20795470807747912,0.18457791554998815,27653.036783050396,293.529965103471,294.60745110618933,291.8551208318138,293.7385869419823,288.3048493207332,294.342059078019,293.5361671620396,295.4567910932451,3.0,4.2,108.03925431743217,40.15279610990149,83.72729212331024,150.02699448620334,42.386078693417545,161.2807389992297,69.57997995721178,73.14824692610978,83.95194414096488
18,circle_xy,False,10.0,0.02,60,10,True,499,78.94469133145579,16.72756509986357,normal,nan,100.0-100.0-100.0-100.0-100.0-100.0-100.0-100.0,-7.161983581171503,1.852681603781886,-1.3285697249969233,1.5551840176867031,-1.503148150794152,1.1322962266396017,-0.29771491834049085,0.6201886956556937,-2.2419136878305563,93.3320621992372,20.75360572265405,27.800124523455608,342.770787988875,342.770787989644,342.77078796830125,342.7707879634632,339.44802496361405,342.77078789033595,342.77078798487776,342.770787989644,True,3.865519499988295,1.4615631418960988,-0.511704814894953,0.7105158147981526,0.04312700395038562,0.370577869372408,-0.6901746821665788,0.6226205736672312,-0.049740937257813304,0.37817846217477097,-0.2097264207837142,0.6580168210652485,0.1953073418545915,0.15484026016222993,27255.242134490632,289.65556282319557,288.4180397881958,285.9553997206861,287.9884944253498,285.1145827344567,289.22800535216686,287.42842302649905,289.72815226562284,3.0,4.5,78.43710796635021,69.36616769403018,79.70212463730505,58.35977646883481,57.42334207027363,48.79529882035703,57.59263191243792,57.62013876685453,78.8697678025324
19,circle_xy,False,10.0,0.02,60,10,True,499,23.87874190545792,14.7067972998193,normal,nan,100.0-100.0-100.0-100.0-100.0-100.0-100.0-100.0,-6.669500365488782,1.8286366726846843,-0.8378177911594482,1.4564300652629172,-1.365011170647318,1.3614764375718076,0.10582027812289803,0.6958892255962406,-41.96852859365996,1.1459961253545432,-4.971772836450838,9.589400315218336,342.770787989644,342.7707876532492,342.7707879406461,342.7707865154809,342.77078790774755,342.770787951777,342.77078791062485,342.770787906612,True,2.2881129997840617,1.2701255360701362,-0.47991671220747395,0.7043679892488575,0.026761537081016383,0.35535160252923387,-0.6730969896291745,0.572613940127156,-0.05294943768965052,0.35641441740965074,-0.19730452921788705,0.5590629030114561,0.16885225165491227,0.13276344452968,27512.43072522187,282.78844713473114,280.6954565972629,278.60184473812427,281.7702593379473,279.07576347105345,283.2663442822901,279.9474474110892,281.99309723115925,3.0,4.8,23.46558492605243,69.77102225824756,64.45768458377417,68.60656782546872,52.438279125604026,56.3938236622972,59.17702404470248,68.40337579652984,61.02939543586081
20,circle_xy,False,10.0,0.02,60,10,True,499,1.8345888638519678,11.336066000250867,normal,nan,100.0-100.0-100.0-100.0-100.0-100.0-100.0-100.0,-1.0836996647100412,1.0328322366770466,0.02801174195804256,0.4424439993207442,-1.037945800024448,0.9801519012058226,0.05044962788932112,0.5056872512997431,-0.7920815668376838,1.0330975318342988,-0.12622053338563083,0.3388591439067828,310.33920610833655,306.52187132535545,308.85656261836033,307.62167664018085,307.9639052600392,305.14982974093334,309.68617600242845,304.1502568062451,True,2.1736822997627314,1.360331062441577,-0.6574958529040241,0.6471890196073676,-0.0044208287564301615,0.36155748741208404,-0.6026214908018509,0.7021959492485375,0.052372558307133915,0.32347527085450706,-0.6874540482859657,0.18427977375011714,-0.17006363776122657,0.1672686756313735,33498.420973936445,290.2581966326199,287.72474620771123,292.0974733482347,285.06635926312464,286.9493035423324,287.11875141180815,288.9674849916115,288.69144272043576,3.0,5.0,1.2222233355877405,40.79500028466763,37.417998378047585,40.41284412539607,36.16542361642312,40.56314508116352,36.604149199278375,41.25237130275684,37.14730919025768
21,circle_xy,False,10.0,0.02,60,10,True,499,1.52326478289039,13.520685699710157,normal,nan,100.0-100.0-100.0-100.0-100.0-100.0-100.0-100.0,-0.9408510159439539,0.9042065751417381,0.02464403130995975,0.4567490705855402,-0.9827883542190442,0.868398018032561,-0.03489042885604299,0.43781377684441025,-0.7082109549009346,0.6262169961238131,-0.12458721950962169,0.31865722579616973,299.64543782671825,293.31764979940635,303.6949839475601,296.05829940462337,304.1121935331185,294.2244557963999,300.190954450116,292.6992837538256,True,2.2474109001050238,0.9653849494598963,-0.6351493238569416,0.44491211956562515,0.004902370500370182,0.31439918152110025,-0.6649056855328238,0.4723155126537143,-0.032351342284929044,0.3167041327783808,-0.5059698770766445,0.15498297866019178,-0.12121760536742889,0.12882070691723213,33014.46256239654,276.06011353204707,269.860758553963,274.32790399000277,266.85581024000277,277.62389973465037,269.7229639989738,274.8439865019864,271.4919688468105,3.0,5.2,0.8564300350509864,27.57252061647657,24.822955138769448,28.134096440943825,24.953966201437336,27.966647836689713,24.633843428417233,28.258682569849423,24.51645475034869
22,circle_xy,False,10.0,0.02,60,10,True,499,1.1783795256806342,12.572951200127136,normal,nan,100.0-100.0-100.0-100.0-100.0-100.0-100.0-100.0,-0.7792360613107522,0.8566495770151993,-0.024052140057082894,0.3993527412749522,-0.980776161241282,0.7232750741895421,-0.017571262886444432,0.3585113434922693,-0.43815381451958074,0.6355075136597363,0.11955360618559711,0.23973623889620094,290.5245462739284,299.11969163623445,290.2117233071063,296.42042725330293,287.47289717203086,294.30931577193223,288.0235390661929,296.6861203776168,True,3.2506844001763966,0.9248784017752529,-0.49908614858418393,0.6271187951203179,-0.02373966036061276,0.31253537169620366,-0.6661724641095016,0.47135239801316003,-0.01635194950821791,0.2979314284417694,-0.16851545358598152,0.39238972030259817,0.10753865401229228,0.11126444997419778,30123.65958092024,270.45733266846577,274.54726663717815,270.184162441938,276.3223822095159,271.03779031892327,277.489712002987,271.32066835417356,276.1017567462864,3.0,5.5,0.5307143448005908,13.833268424089134,16.53448794166258,15.109606721701777,16.462586113759635,14.81719623542165,17.08559442017586,15.057668536191668,16.95236555634553
23,circle_xy,False,10.0,0.02,60,10,True,499,0.9797955155467174,12.778468000004068,normal,nan,100.0-100.0-100.0-100.0-100.0-100.0-100.0-100.0,-0.6584897751132727,0.7806509303995202,-0.022222147456443252,0.347131763279193,-0.9744887851137994,0.6065130155177392,-0.004866615526596817,0.3233278341374392,-0.3920019659318521,0.5728573702962024,0.10278688004925984,0.18328016855764503,285.96052794716655,294.00034973459805,285.82563127762774,291.8095772106277,283.01249443415225,290.34245682274127,283.3464551506674,291.8334510416654,True,2.855606800003443,0.8325044596017706,-0.4743365983003532,0.5900896980471679,-0.023595220438076582,0.29976429219602546,-0.6626695364129939,0.4455164889758356,0.00019110027507754878,0.2764284407769482,-0.16091835696231843,0.3438511796677977,0.09101894462101497,0.10083728448087116,30912.450066900114,268.55589890561606,272.4701270647073,268.07448709885284,274.1583040302151,269.06698355859504,275.2741507992932,269.53496215912173,274.30786699044404,3.0,5.8,0.3886894180987522,10.325853066535437,12.286709017063956,11.258140594333268,12.140212013348492,11.224689925237449,12.556327611822928,11.062594727513154,12.406530258651571
24,circle_xy,False,10.0,0.02,60,10,True,499,0.8548044912416408,11.770947299984982,normal,nan,100.0-100.0-100.0-100.0-100.0-100.0-100.0-100.0,-0.5657521598590197,0.7115369785506465,-0.015364367263025435,0.3099196582765724,-0.5194472750987915,0.9643569080619178,-0.004609216186357095,0.30375130978047427,-0.5177775704704505,0.34989764728307127,-0.08598002322921477,0.15036928042417544,288.784618197987,280.4722885824387,286.61175742745786,278.6903268659374,286.56432556874034,280.4738480523583,288.8601792777926,282.4211455550945,True,2.298665299982531,0.8039907974168998,-0.5084213918053502,0.5300206990858296,-0.01441052020674016,0.2884283596182241,-0.4750759018812886,0.6817058467247024,-0.003531774075392427,0.25773434038754456,-0.4283585502321073,0.1411174001221084,-0.08249519678686784,0.10617684145541627,34220.934628888965,273.3073063171151,268.7881218296782,277.19365979685415,268.69838021936204,274.50725210882814,268.236349180896,273.39208098881653,269.2466236503895,3.0,6.0,0.3055361175702386,10.768503381138084,9.769572635647803,10.992887947993664,9.846135018422192,11.097016595106878,9.87732601715252,10.750947925315023,9.769992854522794
25,circle_xy,False,10.0,0.02,60,10,True,499,0.7633463148510997,12.746428599755745,normal,nan,100.0-100.0-100.0-100.0-100.0-100.0-100.0-100.0,-0.6494491059936193,0.4928176226270278,0.005277185198351823,0.2787386197574559,-0.4548475602837952,0.9523939896314961,-0.011300557925902507,0.29025699313109754,-0.3118156446633561,0.4681496263801932,0.07122869586809216,0.12831942042372915,275.79460187488075,283.04822399170666,275.6598150244494,283.5455884479392,278.12809150953683,285.10946866332074,278.2617563450361,283.7188973186958,True,2.213185199769214,0.7839727659403105,-0.5299387227362209,0.5260195812697089,0.0046134869874912355,0.2801745179022319,-0.46694258860705273,0.6840417691022392,-0.011070591389752209,0.25376497286134403,-0.1527356997824021,0.4507218956843312,0.07297908092517502,0.11493818697385534,37657.37131268176,267.82691023039183,272.2856996197764,268.30111313844606,272.9313199417686,269.9586419738567,272.3325325327175,266.41342722105645,271.75303930282223,3.0,6.2,0.29201671015483704,8.95106561127283,9.979785193232393,8.996425708459052,9.781990034865217,9.053953986093326,9.92834067612297,9.372478490239567,9.973294453621882
